fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
9.0,0.539,0.0,3.49,0.076,4,51,0.99747,2.99,0.67,9.77,5
10.42,0.62,0.567,2.02,0.103,19,59,0.99705,3.36,0.58,10.04,6
7.9,0.422,0.058,1.06,0.095,16,56,0.99447,3.38,0.7,11.76,6
10.85,0.586,0.128,2.29,0.074,25,37,0.99592,3.36,0.48,10.58,5
8.57,0.66,0.251,3.86,0.063,15,40,0.99589,3.34,0.77,10.77,6
7.17,0.474,0.517,1.62,0.064,9,39,0.99553,3.56,0.86,10.63,5
8.09,0.228,0.218,2.84,0.058,13,49,0.99739,3.12,0.65,10.0,6
8.27,0.328,0.0,5.07,0.098,4,31,0.99856,3.34,0.72,10.0,5
8.14,0.464,0.0,2.93,0.101,24,70,0.99753,3.4,0.76,9.88,4
7.4,0.827,0.424,2.28,0.074,28,38,0.9972,3.35,0.56,9.36,4
8.01,0.724,0.427,3.89,0.057,9,21,0.99835,3.42,0.47,10.41,5
9.92,0.483,0.18,1.59,0.061,26,53,0.9961,3.32,0.58,10.34,5
9.77,0.615,0.084,3.87,0.065,5,15,0.99665,3.1,0.62,10.69,5
11.39,0.382,0.513,3.44,0.055,31,37,0.99743,3.27,0.75,10.34,6
7.03,0.681,0.348,2.18,0.066,7,44,0.99678,3.19,0.51,12.03,5
6.68,0.537,0.327,2.39,0.081,29,74,0.99733,3.36,0.71,11.49,5
11.74,0.406,0.174,1.93,0.087,16,50,0.99569,3.07,0.53,8.4,4
8.98,0.626,0.0,1.49,0.064,16,24,0.99496,3.38,0.4,10.42,6
9.01,0.433,0.48,3.43,0.116,13,63,0.99667,3.52,0.97,10.57,6
6.99,0.706,0.483,2.71,0.082,15,55,0.99629,3.42,0.62,11.33,5
9.0,0.746,0.0,2.4,0.08,41,49,0.9951,3.1,0.61,10.85,5
8.46,0.775,0.351,2.65,0.104,6,46,0.99686,3.45,0.92,9.34,5
8.4,0.427,0.197,2.61,0.118,11,95,0.99584,3.47,0.53,10.86,6
10.26,0.352,0.078,5.31,0.127,13,76,0.99765,3.3,0.72,9.74,5
7.07,0.465,0.314,2.06,0.064,8,52,0.99528,3.25,0.63,11.66,6
8.61,0.345,0.303,1.07,0.058,7,18,0.99428,3.0,0.63,11.9,5
5.54,0.777,0.118,2.38,0.032,33,39,0.99594,3.47,0.33,10.49,4
9.04,0.315,0.027,3.0,0.082,3,34,0.99689,3.34,0.63,9.42,5
6.56,0.12,0.213,1.29,0.066,12,77,0.99631,3.41,0.48,11.13,6
11.22,0.368,0.0,4.19,0.05,16,57,0.99576,3.48,0.69,11.01,6
6.17,0.309,0.443,1.8,0.104,6,11,0.99702,3.2,0.5,12.39,6
10.92,0.502,0.315,1.69,0.062,19,147,0.99673,3.25,0.74,10.31,6
6.98,0.569,0.295,2.76,0.072,13,50,0.99548,3.25,0.56,10.18,5
5.74,0.515,0.398,1.57,0.095,16,23,0.99679,3.33,0.84,10.37,6
8.66,0.465,0.536,4.3,0.073,18,24,0.99691,3.28,0.33,9.85,5
8.67,0.691,0.517,1.22,0.06,16,38,0.99648,3.47,0.56,11.17,5
6.78,0.502,0.473,1.41,0.12,6,19,0.99618,3.12,0.53,11.05,6
6.28,0.754,0.374,1.55,0.105,25,56,0.9949,3.33,0.81,10.59,5
4.6,0.539,0.0,1.28,0.03,32,40,0.99534,3.41,0.76,9.84,5
7.77,0.368,0.217,2.82,0.047,8,51,0.99622,3.2,0.61,11.05,5
8.85,0.782,0.31,2.2,0.117,28,51,0.99646,3.29,0.66,9.66,5
5.06,0.398,0.616,2.64,0.065,7,21,0.99661,3.47,0.92,11.07,7
8.51,0.545,0.328,1.7,0.033,8,31,0.99644,3.2,0.71,11.79,7
10.87,0.984,0.41,2.68,0.118,7,26,0.99669,3.23,0.83,8.88,3
5.48,0.527,0.448,1.67,0.064,3,19,0.99611,3.6,0.77,9.8,5
9.21,0.44,0.023,6.52,0.123,14,43,0.9972,3.16,0.6,9.93,6
9.18,0.471,0.057,2.99,0.061,5,45,0.99736,3.46,0.51,9.55,4
7.32,0.539,0.533,1.78,0.09,20,39,0.99717,3.46,0.75,11.2,6
8.82,0.445,0.237,2.32,0.112,20,58,0.99587,3.23,0.44,11.6,5
6.53,0.33,0.227,2.29,0.056,30,52,0.99497,3.56,0.52,9.96,5
9.02,0.46,0.093,0.99,0.058,9,50,0.99721,3.56,0.79,8.84,5
10.89,0.68,0.367,2.03,0.067,4,25,0.99577,3.09,0.46,11.79,6
7.75,0.569,0.0,2.13,0.075,15,51,0.99636,3.27,0.8,9.78,4
7.3,0.59,0.174,2.47,0.07,12,28,0.99752,3.43,0.76,10.93,6
5.08,0.868,0.196,2.69,0.064,25,58,0.99631,3.28,0.58,9.77,4
11.29,0.388,0.552,2.58,0.056,13,27,0.99665,2.89,0.52,10.25,6
11.3,0.655,0.115,2.43,0.079,9,39,0.99802,3.02,0.33,9.48,5
7.5,0.709,0.0,4.38,0.11,13,25,0.99797,3.24,0.85,9.33,5
8.44,0.576,0.3,2.17,0.077,13,39,0.99583,3.31,0.67,9.75,5
8.15,0.499,0.057,2.54,0.097,9,27,0.99675,3.31,1.02,10.75,5
10.48,0.686,0.197,3.06,0.099,2,45,0.99544,3.0,0.61,11.17,6
5.79,0.727,0.47,2.51,0.072,3,16,0.99584,3.55,0.5,10.67,6
9.38,0.376,0.0,2.14,0.111,11,26,0.99674,3.4,0.55,10.83,6
4.69,0.875,0.401,1.4,0.07,31,65,0.9958,3.47,0.69,10.54,5
9.35,0.667,0.566,2.09,0.037,12,39,0.9975,3.27,0.47,10.12,5
7.11,0.839,0.325,2.39,0.05,29,42,0.99576,3.29,0.56,10.35,4
10.39,0.698,0.23,3.14,0.06,8,45,0.99528,3.21,0.89,11.53,6
9.18,0.642,0.471,2.3,0.069,4,31,0.9959,3.43,0.97,9.53,6
7.32,0.505,0.195,2.52,0.092,13,31,0.99581,3.28,0.9,9.61,5
7.12,0.587,0.131,3.17,0.052,11,33,0.99611,3.25,0.85,10.01,5
6.39,0.611,0.288,1.68,0.079,19,97,0.99697,3.33,0.75,9.08,5
10.99,0.367,0.399,4.19,0.072,9,68,0.99767,3.04,0.58,9.93,5
10.0,0.752,0.452,2.96,0.076,25,62,0.9965,3.33,0.68,9.35,5
7.33,0.462,0.382,2.42,0.06,11,27,0.99709,3.37,0.92,10.14,5
6.17,0.534,0.119,5.01,0.115,20,47,0.99927,3.25,0.93,11.04,6
9.09,0.595,0.0,1.81,0.058,14,75,0.99579,3.21,0.6,8.87,6
8.32,0.381,0.364,2.36,0.116,9,20,0.99651,3.27,0.91,10.21,6
7.52,0.439,0.256,2.25,0.029,7,32,0.99538,3.39,0.74,11.17,7
8.49,0.79,0.197,1.48,0.09,19,46,0.99721,3.25,0.93,8.96,4
9.36,0.639,0.171,4.59,0.073,24,86,0.99666,3.15,0.53,8.99,5
8.26,0.312,0.045,1.7,0.059,9,46,0.99488,3.1,0.75,11.45,6
9.3,0.366,0.607,1.66,0.095,7,30,0.99676,3.25,0.86,11.81,6
8.29,0.531,0.0,1.11,0.073,13,24,0.99729,3.32,0.68,10.18,5
8.74,0.187,0.761,1.9,0.067,48,90,0.99537,3.41,0.33,9.69,6
7.43,0.58,0.04,1.78,0.039,14,83,0.99572,3.37,0.44,9.06,4
9.57,0.602,0.162,0.97,0.063,14,19,0.99573,3.29,0.65,11.5,6
8.55,0.413,0.153,3.01,0.073,22,88,0.997,3.13,0.48,9.37,6
7.81,0.519,0.0,3.36,0.053,4,34,0.9971,3.35,0.64,12.0,6
8.6,0.36,0.0,2.08,0.06,20,42,0.99657,3.31,0.73,11.95,6
7.93,0.403,0.002,3.17,0.088,20,42,0.99816,3.58,0.33,11.04,5
8.0,0.62,0.437,2.07,0.085,21,131,0.99621,3.43,0.33,10.12,4
9.14,0.421,0.387,7.75,0.087,14,24,0.99921,3.2,0.64,9.62,5
9.7,0.343,0.203,1.72,0.105,1,72,0.99483,3.33,0.89,12.6,6
5.69,0.575,0.435,2.06,0.113,6,61,0.99738,3.35,0.83,10.42,5
8.0,0.672,0.134,1.13,0.077,8,26,0.99625,3.47,0.66,10.41,6
8.43,0.433,0.472,2.65,0.075,20,88,0.99695,3.32,0.79,11.23,6
6.51,0.518,0.089,2.04,0.115,8,20,0.99671,3.41,0.86,11.87,6
9.0,0.706,0.072,1.92,0.063,18,88,0.99581,3.22,0.73,10.97,6
7.92,0.692,0.449,2.46,0.052,14,30,0.99704,3.21,0.7,11.35,5
7.44,0.12,0.002,2.47,0.149,24,96,0.9959,3.44,0.34,9.18,4
5.47,0.629,0.029,1.64,0.144,11,26,0.99548,3.55,0.92,8.4,5
5.99,0.8,0.0,1.77,0.098,21,53,0.99667,3.37,0.71,12.34,7
8.45,0.718,0.0,2.35,0.055,28,35,0.99635,3.32,0.82,11.96,5
11.17,0.494,0.192,3.57,0.084,16,28,0.99579,3.04,0.59,9.39,5
7.63,0.769,0.0,3.53,0.072,14,28,0.99503,3.48,0.74,9.83,5
4.94,0.252,0.362,1.46,0.045,5,83,0.9963,3.45,0.89,9.83,5
10.28,0.568,0.191,2.87,0.086,11,28,0.9963,3.36,0.61,10.09,5
8.58,0.53,0.611,3.11,0.105,20,33,0.99597,3.07,0.93,8.83,5
10.17,0.656,0.411,3.96,0.077,7,21,0.9971,3.28,0.79,9.75,4
7.29,0.16,0.275,1.73,0.081,45,68,0.99515,3.36,0.62,10.58,6
9.68,0.436,0.317,2.69,0.084,11,26,0.99598,3.12,0.55,10.16,6
8.86,0.422,0.0,2.19,0.057,8,26,0.99638,3.22,0.34,12.12,5
6.3,0.657,0.382,2.38,0.103,31,44,0.99693,3.4,0.54,10.49,5
7.73,0.496,0.063,2.04,0.09,11,14,0.99603,3.29,0.59,10.38,5
8.5,0.533,0.073,1.71,0.046,12,45,0.9956,3.25,0.58,10.52,5
6.9,0.462,0.204,2.53,0.092,12,23,0.99675,3.21,0.56,10.75,4
10.21,0.556,0.0,2.25,0.046,13,38,0.99641,3.31,0.56,10.48,5
7.66,0.73,0.438,1.75,0.077,8,53,0.99615,3.36,0.67,10.64,6
9.72,0.499,0.55,3.49,0.111,8,52,0.99718,3.35,0.33,11.62,7
7.92,0.426,0.0,3.86,0.116,8,46,0.99745,3.38,0.83,11.58,6
9.34,0.418,0.355,2.82,0.064,20,43,0.99736,3.2,0.59,9.08,5
9.21,0.637,0.153,1.17,0.11,31,59,0.99521,3.15,0.74,9.1,5
5.25,0.711,0.343,1.27,0.067,4,32,0.99806,3.29,0.58,10.9,5
7.91,0.445,0.347,2.51,0.09,48,116,0.99534,3.22,0.74,11.19,5
9.48,0.569,0.526,1.66,0.089,10,33,0.99616,3.32,0.92,8.4,5
7.76,0.308,0.347,2.55,0.1,36,57,0.99749,3.53,0.68,9.98,5
10.74,0.651,0.115,3.33,0.099,15,34,0.99847,3.21,0.81,11.28,6
10.39,0.602,0.143,1.92,0.053,9,23,0.99744,3.22,0.49,11.76,7
7.07,0.252,0.247,4.13,0.06,23,68,0.99777,3.28,0.64,10.22,6
8.6,0.465,0.467,5.16,0.078,21,63,0.99677,3.38,0.49,10.85,6
9.22,0.569,0.425,2.5,0.082,10,16,0.996,3.46,0.38,9.48,5
7.26,0.276,0.217,3.37,0.118,13,35,0.99668,3.38,0.64,8.4,4
11.0,0.827,0.304,1.95,0.117,22,95,0.99602,3.03,0.85,9.14,4
9.61,0.578,0.264,2.8,0.079,11,31,0.99714,3.37,0.56,10.91,6
8.48,0.246,0.081,3.01,0.061,19,41,0.99556,3.27,1.21,11.4,7
7.08,0.142,0.048,2.51,0.055,23,28,0.99687,3.61,0.65,10.07,6
6.97,0.528,0.462,0.9,0.081,7,56,0.99671,3.32,0.57,10.0,5
7.14,0.45,0.0,3.47,0.133,2,30,0.99758,3.33,0.65,8.94,5
9.6,0.545,0.233,1.74,0.063,11,96,0.99637,3.18,0.68,11.92,6
6.95,0.448,0.499,0.91,0.081,15,87,0.99544,3.48,0.7,11.61,6
9.77,0.18,0.0,2.65,0.112,6,36,0.99707,3.27,0.4,10.92,6
12.07,0.679,0.214,2.45,0.073,5,26,0.99703,3.05,0.33,10.57,5
6.18,0.695,0.671,1.92,0.07,18,20,0.99562,3.31,0.62,12.29,7
7.3,0.958,0.444,1.56,0.084,5,21,0.99757,3.29,0.8,9.65,3
10.12,0.634,0.285,1.8,0.104,22,29,0.99668,3.36,0.68,10.35,5
8.78,0.758,0.205,2.58,0.074,6,75,0.99541,3.14,0.78,9.68,6
6.94,0.786,0.113,3.45,0.034,8,38,0.99563,3.5,0.72,10.94,5
8.23,0.578,0.315,1.94,0.046,18,31,0.99687,3.49,0.67,10.47,6
8.26,0.498,0.302,1.03,0.061,18,41,0.99649,3.32,0.4,12.28,6
9.51,0.451,0.077,2.48,0.063,11,78,0.99714,3.32,0.4,9.8,5
6.92,0.645,0.228,1.37,0.086,45,118,0.99562,3.31,0.55,9.93,5
7.89,0.479,0.0,4.4,0.147,9,62,0.99785,3.33,0.59,9.73,5
8.1,0.669,0.0,1.76,0.083,6,23,0.99622,3.48,0.77,10.58,5
8.89,0.674,0.309,1.89,0.083,11,58,0.9961,3.34,0.85,10.55,6
7.96,0.566,0.094,2.43,0.059,4,48,0.99668,3.39,0.73,10.1,6
5.96,0.645,0.326,1.3,0.054,4,45,0.99564,3.45,0.47,9.63,5
6.21,0.366,0.203,2.09,0.079,13,52,0.99727,3.31,0.81,11.36,5
10.27,0.638,0.298,2.7,0.15,8,71,0.99742,3.39,0.77,11.26,5
7.54,0.451,0.489,2.34,0.061,1,46,0.99606,3.49,0.6,12.55,7
8.49,0.569,0.226,2.25,0.039,16,31,0.99613,3.2,0.7,9.34,5
8.36,0.387,0.07,3.11,0.043,7,37,0.99701,3.33,0.57,12.5,6
8.92,0.7,0.144,4.05,0.065,5,53,0.9967,3.46,0.63,11.55,7
10.5,0.51,0.011,1.98,0.082,13,59,0.99548,3.09,0.82,10.43,5
8.38,0.733,0.454,0.9,0.079,63,73,0.99574,3.48,0.85,12.37,6
9.6,0.313,0.476,0.92,0.052,7,25,0.99591,3.13,0.56,10.36,5
9.15,0.306,0.258,2.93,0.062,19,49,0.99718,3.26,0.74,11.2,6
8.75,0.445,0.224,2.22,0.089,24,77,0.99633,3.16,0.48,10.88,5
6.56,0.339,0.472,2.77,0.03,19,81,0.99605,3.63,0.68,10.7,7
7.61,0.629,0.158,1.85,0.073,14,65,0.99657,3.43,0.72,9.34,5
9.82,0.419,0.041,4.82,0.083,17,28,0.99747,3.17,0.62,11.18,5
7.82,0.392,0.272,1.57,0.06,7,25,0.99613,3.4,0.48,10.21,5
7.77,0.596,0.347,3.9,0.101,15,31,0.99762,3.36,0.47,8.75,5
7.88,0.665,0.3,2.49,0.118,18,38,0.9959,3.19,0.75,9.8,6
6.39,0.856,0.518,0.9,0.066,18,31,0.9966,3.45,0.52,9.95,5
7.0,0.433,0.366,2.61,0.086,7,12,0.99587,3.59,0.67,11.97,6
8.64,0.412,0.154,2.7,0.077,18,105,0.99674,3.17,0.61,10.59,6
6.9,0.12,0.303,4.22,0.062,2,38,0.99762,3.37,0.95,8.4,6
6.28,0.576,0.083,2.25,0.053,37,125,0.99703,3.45,0.54,9.29,5
9.47,0.406,0.272,2.14,0.082,20,62,0.99722,3.34,0.66,9.96,6
9.63,0.691,0.105,2.22,0.055,23,65,0.99522,3.19,0.47,10.05,4
8.21,0.69,0.408,1.11,0.065,16,34,0.99554,3.27,0.77,11.26,6
6.71,0.663,0.399,3.42,0.105,15,40,0.99497,3.46,0.66,10.6,6
9.89,0.371,0.234,2.91,0.128,14,23,0.99665,3.11,1.0,9.67,5
8.99,0.473,0.511,2.43,0.149,21,41,0.99739,3.4,0.67,11.03,5
5.79,0.484,0.353,2.67,0.036,9,73,0.99704,3.34,0.33,11.53,6
6.78,0.648,0.146,0.9,0.069,9,29,0.99344,3.48,0.87,10.54,6
5.98,0.496,0.46,2.7,0.058,23,36,0.99747,3.52,0.67,12.06,6
4.99,0.498,0.319,1.52,0.083,23,35,0.99521,3.5,1.04,9.26,5
10.32,0.592,0.452,1.83,0.058,22,28,0.99605,3.15,0.76,8.47,4
10.56,0.505,0.439,2.31,0.045,11,74,0.99613,3.41,0.74,11.7,6
4.87,0.467,0.705,3.68,0.064,33,54,0.99563,3.51,0.83,12.27,6
9.12,0.745,0.255,2.1,0.117,2,48,0.99736,3.3,0.52,10.97,5
7.98,0.449,0.499,3.02,0.058,12,39,0.99759,3.33,0.52,10.17,6
8.64,0.503,0.055,3.22,0.097,16,57,0.99655,3.42,0.56,8.4,4
9.52,0.495,0.109,2.06,0.073,4,38,0.99676,3.42,0.61,11.5,7
9.56,0.844,0.331,2.19,0.091,16,117,0.99638,3.17,0.63,10.92,4
8.2,0.233,0.086,2.06,0.047,8,19,0.99674,3.51,0.42,10.13,5
7.3,0.595,0.368,4.22,0.117,15,44,0.99696,3.3,0.54,11.74,5
9.2,0.582,0.012,2.37,0.093,5,28,0.99496,3.26,0.93,11.92,5
11.02,0.445,0.0,2.56,0.187,25,53,0.9964,3.03,0.81,9.73,5
6.13,0.512,0.294,2.99,0.084,4,18,0.99568,3.24,0.74,10.97,6
6.98,0.5,0.334,4.03,0.066,27,78,0.99618,3.34,0.83,10.72,6
7.89,0.666,0.679,3.57,0.05,12,41,0.99701,3.24,0.48,11.54,5
6.8,0.285,0.218,1.53,0.153,16,52,0.9956,3.28,0.49,8.89,5
7.53,0.473,0.169,0.9,0.101,21,61,0.99463,3.22,0.45,9.68,5
9.61,0.123,0.322,2.12,0.077,5,45,0.9957,3.24,0.37,10.04,6
8.79,0.269,0.341,3.11,0.068,15,29,0.99692,3.45,0.39,11.12,6
7.9,0.71,0.384,2.33,0.069,9,38,0.99451,3.5,0.4,9.29,4
8.13,0.795,0.0,3.01,0.067,35,50,0.99658,3.35,0.46,10.17,5
6.97,0.323,0.096,2.06,0.05,15,28,0.99645,3.34,0.62,11.06,6
9.37,0.179,0.095,2.19,0.13,7,15,0.996,3.27,0.88,10.87,6
7.34,0.303,0.156,3.03,0.107,3,20,0.99671,3.39,0.61,10.45,5
6.41,0.504,0.402,4.77,0.073,13,73,0.99823,3.59,0.71,8.4,4
7.28,0.883,0.612,1.63,0.075,17,38,0.99721,3.35,0.95,9.56,5
8.13,0.399,0.421,4.31,0.053,10,53,0.99513,3.43,0.72,10.73,7
10.52,0.514,0.327,5.12,0.076,12,31,0.99691,3.23,0.5,11.27,5
8.07,0.623,0.326,3.92,0.082,14,33,0.99739,3.29,0.33,9.28,5
7.46,0.604,0.073,3.43,0.072,24,43,0.99647,3.38,0.67,11.34,5
11.55,0.483,0.066,2.32,0.079,11,49,0.997,3.15,0.54,11.17,4
8.1,0.539,0.297,1.4,0.074,37,48,0.99628,3.3,0.53,12.04,5
10.24,0.841,0.197,2.74,0.061,9,61,0.99706,3.26,0.74,10.0,5
8.9,0.554,0.153,1.64,0.096,4,16,0.997,3.4,0.68,10.48,6
9.2,0.547,0.006,0.99,0.084,5,33,0.997,3.37,0.62,10.13,6
6.35,0.446,0.423,1.24,0.105,12,55,0.99775,3.41,0.64,9.21,5
8.72,0.515,0.094,1.59,0.091,10,61,0.99622,3.21,0.87,11.67,5
7.36,0.445,0.388,1.01,0.078,12,60,0.99555,3.45,0.54,11.7,6
6.34,0.543,0.53,5.29,0.081,31,44,0.99723,3.52,0.62,10.04,5
8.71,0.62,0.653,4.55,0.101,11,29,0.99906,3.47,0.43,10.86,6
7.82,0.793,0.0,1.73,0.055,8,54,0.9947,3.31,0.7,11.09,5
8.26,0.444,0.168,0.99,0.055,7,24,0.99713,3.41,0.72,12.81,7
9.66,0.816,0.491,0.9,0.117,9,67,0.99613,3.23,0.69,10.5,4
4.6,0.677,0.159,1.49,0.065,65,134,0.99543,3.39,0.64,9.27,5
8.52,0.389,0.035,2.66,0.112,72,98,0.99779,3.25,0.77,10.57,5
5.55,0.501,0.397,3.34,0.058,18,34,0.99728,3.32,0.64,10.18,5
5.33,0.207,0.305,1.56,0.054,26,33,0.99716,3.54,0.84,11.75,6
7.98,0.901,0.202,1.86,0.122,11,94,0.9964,3.14,0.61,9.96,5
7.23,0.249,0.0,4.24,0.167,13,53,0.99717,3.18,0.67,8.55,4
4.6,0.551,0.0,2.16,0.081,10,41,0.99757,3.39,0.39,11.68,6
7.8,0.68,0.349,2.49,0.135,11,21,0.99762,3.44,0.62,11.13,5
8.24,0.718,0.046,1.39,0.096,11,31,0.99518,3.07,0.57,9.89,5
9.91,0.691,0.374,2.22,0.085,18,40,0.99831,3.17,0.59,9.44,4
9.58,0.618,0.237,3.49,0.06,4,34,0.99594,3.13,0.48,10.74,6
7.88,0.25,0.326,2.0,0.067,4,81,0.99595,3.28,0.85,10.83,6
5.51,0.629,0.334,1.25,0.065,15,45,0.99524,3.36,0.9,9.81,5
7.65,0.781,0.149,1.91,0.057,7,52,0.9958,3.56,0.71,10.69,5
8.65,0.72,0.028,1.94,0.059,5,54,0.99836,3.31,0.69,10.0,5
9.05,0.745,0.458,2.06,0.082,10,37,0.99727,3.47,0.91,11.07,6
9.48,0.376,0.256,2.59,0.114,17,68,0.99578,3.25,0.64,11.51,6
8.26,0.177,0.0,1.58,0.099,27,109,0.99589,3.39,0.62,10.47,6
8.66,0.32,0.54,3.12,0.074,16,36,0.99637,3.24,0.59,11.07,6
7.22,0.312,0.323,3.92,0.048,12,34,0.99764,3.31,0.41,11.45,6
7.51,0.229,0.507,0.91,0.084,25,49,0.99595,3.18,0.74,8.99,6
